,,,,,android_avg_rating,android_file_size,android_rating_1,android_rating_2,android_rating_3,android_rating_4,android_rating_5,android_total_ratings,ios_all_ratings,ios_current_ratings,ios_file_size
2016,7,21,9,40,3.8981773853302,58.0,202746.0,72566.0,119998.0,169779.0,740436.0,1305525.0,107460.0,5668.0,110.0
2016,7,21,9,50,3.8981773853302,58.0,202746.0,72566.0,119998.0,169779.0,740436.0,1305525.0,107460.0,5668.0,110.0
2016,7,21,10,0,3.8981773853302,58.0,202746.0,72566.0,119998.0,169779.0,740436.0,1305525.0,107460.0,5668.0,110.0
2016,7,21,10,10,3.8981773853302,58.0,202746.0,72566.0,119998.0,169779.0,740436.0,1305525.0,107460.0,5668.0,110.0
2016,7,21,10,20,3.8981773853302,58.0,202746.0,72566.0,119998.0,169779.0,740436.0,1305525.0,107460.0,5668.0,110.0
2016,7,21,10,30,3.8981773853302,58.0,202746.0,72566.0,119998.0,169779.0,740436.0,1305525.0,107460.0,5668.0,110.0
2016,7,21,10,40,3.8981773853302,58.0,202746.0,72566.0,119998.0,169779.0,740436.0,1305525.0,107460.0,5668.0,110.0
2016,7,21,10,50,3.8981773853302,58.0,202746.0,72566.0,119998.0,169779.0,740436.0,1305525.0,107460.0,5668.0,110.0
2016,7,21,11,0,3.8981773853302,58.0,202746.0,72566.0,119998.0,169779.0,740436.0,1305525.0,107972.0,5668.0,110.0
2016,7,21,11,10,3.8981773853302,58.0,202746.0,72566.0,119998.0,169779.0,740436.0,1305525.0,107460.0,6203.0,110.0
2016,7,21,11,20,3.8981773853302,58.0,202746.0,72566.0,119998.0,169779.0,740436.0,1305525.0,107972.0,6203.0,110.0
2016,7,21,11,30,3.8981773853302,58.0,202746.0,72566.0,119998.0,169779.0,740436.0,1305525.0,107972.0,6203.0,110.0
2016,7,21,11,40,3.8981773853302,58.0,202746.0,72566.0,119998.0,169779.0,740436.0,1305525.0,107972.0,6203.0,110.0
2016,7,21,11,50,3.8981773853302,58.0,202746.0,72566.0,119998.0,169779.0,740436.0,1305525.0,107972.0,6203.0,110.0
2016,7,21,12,0,3.8994531631469727,58.0,204585.0,73093.0,121282.0,171872.0,748562.0,1319394.0,107972.0,6203.0,110.0
2016,7,21,12,10,3.8994531631469727,58.0,204585.0,73093.0,121282.0,171872.0,748562.0,1319394.0,107972.0,6203.0,110.0
2016,7,21,12,20,3.8994531631469727,58.0,204585.0,73093.0,121282.0,171872.0,748562.0,1319394.0,107972.0,6203.0,110.0
2016,7,21,12,30,3.8994531631469727,58.0,204585.0,73093.0,121282.0,171872.0,748562.0,1319394.0,107972.0,6203.0,110.0
2016,7,21,12,40,3.8994531631469727,58.0,204585.0,73093.0,121282.0,171872.0,748562.0,1319394.0,107972.0,6203.0,110.0
2016,7,21,12,50,3.8994531631469727,58.0,204585.0,73093.0,121282.0,171872.0,748562.0,1319394.0,107972.0,6203.0,110.0
2016,7,21,13,0,3.8994531631469727,58.0,204585.0,73093.0,121282.0,171872.0,748562.0,1319394.0,107972.0,6203.0,110.0
2016,7,21,13,10,3.8994531631469727,58.0,204585.0,73093.0,121282.0,171872.0,748562.0,1319394.0,107972.0,6203.0,110.0
2016,7,21,13,20,3.8994531631469727,58.0,204585.0,73093.0,121282.0,171872.0,748562.0,1319394.0,107972.0,6203.0,110.0
2016,7,21,13,30,3.8994531631469727,58.0,204585.0,73093.0,121282.0,171872.0,748562.0,1319394.0,107972.0,6203.0,110.0
2016,7,21,13,40,3.8994531631469727,58.0,204585.0,73093.0,121282.0,171872.0,748562.0,1319394.0,107972.0,6203.0,110.0
2016,7,21,13,50,3.8994531631469727,58.0,204585.0,73093.0,121282.0,171872.0,748562.0,1319394.0,107972.0,6203.0,110.0
2016,7,21,14,0,3.8994531631469727,58.0,204585.0,73093.0,121282.0,171872.0,748562.0,1319394.0,107972.0,6203.0,110.0
2016,7,21,14,10,3.8994531631469727,58.0,204585.0,73093.0,121282.0,171872.0,748562.0,1319394.0,107972.0,6203.0,110.0
2016,7,21,14,20,3.8994531631469727,58.0,204585.0,73093.0,121282.0,171872.0,748562.0,1319394.0,107972.0,6203.0,110.0
2016,7,21,14,30,3.8994531631469727,58.0,204585.0,73093.0,121282.0,171872.0,748562.0,1319394.0,107972.0,6203.0,110.0
2016,7,21,14,40,3.8994531631469727,58.0,204585.0,73093.0,121282.0,171872.0,748562.0,1319394.0,107972.0,6203.0,110.0
2016,7,21,14,50,3.8994531631469727,58.0,204585.0,73093.0,121282.0,171872.0,748562.0,1319394.0,107972.0,6203.0,110.0
2016,7,21,15,0,3.8994531631469727,58.0,204585.0,73093.0,121282.0,171872.0,748562.0,1319394.0,107972.0,6203.0,110.0
2016,7,21,15,10,3.8994531631469727,58.0,204585.0,73093.0,121282.0,171872.0,748562.0,1319394.0,108570.0,6203.0,110.0
2016,7,21,15,20,3.8994531631469727,58.0,204585.0,73093.0,121282.0,171872.0,748562.0,1319394.0,108570.0,6842.0,110.0
2016,7,21,15,30,3.8994531631469727,58.0,204585.0,73093.0,121282.0,171872.0,748562.0,1319394.0,108570.0,6842.0,110.0
2016,7,21,15,40,3.8994531631469727,58.0,204585.0,73093.0,121282.0,171872.0,748562.0,1319394.0,108570.0,6842.0,110.0
2016,7,21,15,50,3.8994531631469727,58.0,204585.0,73093.0,121282.0,171872.0,748562.0,1319394.0,108570.0,6842.0,110.0
2016,7,21,16,0,3.9017932415008545,58.0,206305.0,73640.0,122554.0,174065.0,757714.0,1334278.0,108570.0,6842.0,110.0
2016,7,21,16,10,3.9017932415008545,58.0,206305.0,73640.0,122554.0,174065.0,757714.0,1334278.0,108570.0,6842.0,110.0
2016,7,21,16,20,3.9017932415008545,58.0,206305.0,73640.0,122554.0,174065.0,757714.0,1334278.0,108570.0,6842.0,110.0
2016,7,21,16,30,3.9017932415008545,58.0,206305.0,73640.0,122554.0,174065.0,757714.0,1334278.0,108570.0,6842.0,110.0
2016,7,21,16,40,3.9017932415008545,58.0,206305.0,73640.0,122554.0,174065.0,757714.0,1334278.0,108570.0,6842.0,110.0
2016,7,21,16,50,3.9017932415008545,58.0,206305.0,73640.0,122554.0,174065.0,757714.0,1334278.0,108570.0,6842.0,110.0
2016,7,21,17,0,3.9017932415008545,58.0,206305.0,73640.0,122554.0,174065.0,757714.0,1334278.0,108570.0,6842.0,110.0
2016,7,21,17,10,3.9017932415008545,58.0,206305.0,73640.0,122554.0,174065.0,757714.0,1334278.0,108570.0,6842.0,110.0
2016,7,21,17,20,3.9017932415008545,58.0,206305.0,73640.0,122554.0,174065.0,757714.0,1334278.0,108570.0,6842.0,110.0
